ItemId,Format,FormatRaw
106983,12,Magazine
106984,12,Magazine
106985,12,Magazine
106986,12,Magazine
106987,12,Magazine
106988,12,Magazine
106989,12,Magazine
106990,12,Magazine
106991,12,Magazine
106992,12,Magazine
106993,12,Magazine
106994,12,Magazine
106995,12,Magazine
106996,12,Magazine
106997,12,Magazine
106998,12,Magazine
106999,12,Magazine
107000,12,Magazine
107001,12,Magazine
107002,12,Magazine
107003,12,Magazine
107004,12,Magazine
107005,12,Magazine
107006,12,Magazine
107007,12,Magazine
107008,12,Magazine
107009,12,Magazine
107010,12,Magazine
107011,12,Magazine
107012,12,Magazine
107013,12,Magazine
107014,12,Magazine
107015,12,Magazine
107016,12,Magazine
107017,12,Magazine
107018,12,Magazine
107019,12,Magazine
107020,12,Magazine
107021,12,Magazine
107022,12,Magazine
107023,12,Magazine
107024,12,Magazine
107025,12,Magazine
107026,12,Magazine
107027,12,Magazine
107028,12,Magazine
107029,12,Magazine
107030,12,Magazine
107031,12,Magazine
107032,12,Magazine
107033,12,Magazine
107034,12,Magazine
107035,12,Magazine
107036,12,Magazine
107037,12,Magazine
107948,12,Magazine
107949,12,Magazine
107950,12,Magazine
107951,12,Magazine
107952,12,Magazine
107953,12,Magazine
107954,12,Magazine
107955,12,Magazine
107956,12,Magazine
107957,12,Magazine
107958,12,Magazine
107959,12,Magazine
107960,12,Magazine
107961,12,Magazine
107962,12,Magazine
107963,12,Magazine
107964,12,Magazine
107965,12,Magazine
107966,12,Magazine
107967,12,Magazine
107968,12,Magazine
107969,12,Magazine
107970,12,Magazine
107971,12,Magazine
107972,12,Magazine
107973,12,Magazine
107974,12,Magazine
107975,12,Magazine
20430,12,Magazine
39194,12,Magazine
39195,12,Magazine
39196,12,Magazine
39197,12,Magazine
39198,12,Magazine
39199,12,Magazine
39200,12,Magazine
104431,12,Magazine
104432,12,Magazine
104433,12,Magazine
104434,12,Magazine
104435,12,Magazine
104436,12,Magazine
104437,12,Magazine
104438,12,Magazine
104439,12,Magazine
104440,12,Magazine
104441,12,Magazine
104442,12,Magazine
104443,12,Magazine
104444,12,Magazine
104445,12,Magazine
104446,12,Magazine
104447,12,Magazine
104448,12,Magazine
104449,12,Magazine
104450,12,Magazine
104451,12,Magazine
104452,12,Magazine
104453,12,Magazine
104454,12,Magazine
104455,12,Magazine
104456,12,Magazine
104457,12,Magazine
104458,12,Magazine
104459,12,Magazine
104460,12,Magazine
104461,12,Magazine
104462,12,Magazine
104463,12,Magazine
104464,12,Magazine
104465,12,Magazine
104466,12,Magazine
104467,12,Magazine
104468,12,Magazine
104469,12,Magazine
104470,12,Magazine
104471,12,Magazine
104472,12,Magazine
104473,12,Magazine
104474,12,Magazine
104475,12,Magazine
104476,12,Magazine
104477,12,Magazine
104478,12,Magazine
104479,12,Magazine
104480,12,Magazine
104481,12,Magazine
104482,12,Magazine
104483,12,Magazine
104484,12,Magazine
104485,12,Magazine
104486,12,Magazine
104487,12,Magazine
104488,12,Magazine
104489,12,Magazine
104490,12,Magazine
104491,12,Magazine
104492,12,Magazine
104493,12,Magazine
104494,12,Magazine
104495,12,Magazine
104496,12,Magazine
104497,12,Magazine
104498,12,Magazine
104499,12,Magazine
104500,12,Magazine
104501,12,Magazine
104502,12,Magazine
104503,12,Magazine
104504,12,Magazine
104505,12,Magazine
104506,12,Magazine
104507,12,Magazine
104508,12,Magazine
104509,12,Magazine
104510,12,Magazine
104511,12,Magazine
104512,12,Magazine
104513,12,Magazine
104514,12,Magazine
104515,12,Magazine
104516,12,Magazine
104517,12,Magazine
104518,12,Magazine
104519,12,Magazine
104520,12,Magazine
104521,12,Magazine
104522,12,Magazine
104523,12,Magazine
104524,12,Magazine
104525,12,Magazine
104526,12,Magazine
104527,12,Magazine
104528,12,Magazine
104529,12,Magazine
104530,12,Magazine
104531,12,Magazine
104532,12,Magazine
104533,12,Magazine
104534,12,Magazine
104535,12,Magazine
104536,12,Magazine
104537,12,Magazine
104538,12,Magazine
104539,12,Magazine
104540,12,Magazine
104541,12,Magazine
104542,12,Magazine
104543,12,Magazine
104544,12,Magazine
104545,12,Magazine
104546,12,Magazine
104547,12,Magazine
104548,12,Magazine
104549,12,Magazine
104550,12,Magazine
104551,12,Magazine
104552,12,Magazine
104553,12,Magazine
104554,12,Magazine
104555,12,Magazine
104556,12,Magazine
104557,12,Magazine
104558,12,Magazine
104559,12,Magazine
104560,12,Magazine
104561,12,Magazine
104562,12,Magazine
104563,12,Magazine
104564,12,Magazine
104565,12,Magazine
104566,12,Magazine
104567,12,Magazine
104568,12,Magazine
104569,12,Magazine
104570,12,Magazine
104571,12,Magazine
104572,12,Magazine
104573,12,Magazine
104574,12,Magazine
104575,12,Magazine
104576,12,Magazine
104577,12,Magazine
104578,12,Magazine
104579,12,Magazine
104580,12,Magazine
104581,12,Magazine
104582,12,Magazine
104583,12,Magazine
104584,12,Magazine
104585,12,Magazine
104586,12,Magazine
104587,12,Magazine
104588,12,Magazine
104589,12,Magazine
104590,12,Magazine
104591,12,Magazine
104592,12,Magazine
104593,12,Magazine
104594,12,Magazine
104595,12,Magazine
104596,12,Magazine
104597,12,Magazine
104598,12,Magazine
104599,12,Magazine
104600,12,Magazine
104601,12,Magazine
104602,12,Magazine
104603,12,Magazine
104604,12,Magazine
104605,12,Magazine
104606,12,Magazine
104607,12,Magazine
104608,12,Magazine
104609,12,Magazine
104610,12,Magazine
104611,12,Magazine
104612,12,Magazine
104613,12,Magazine
104614,12,Magazine
104615,12,Magazine
104616,12,Magazine
104617,12,Magazine
104618,12,Magazine
104619,12,Magazine
104620,12,Magazine
104621,12,Magazine
104622,12,Magazine
104623,12,Magazine
104624,12,Magazine
104625,12,Magazine
104626,12,Magazine
104627,12,Magazine
104628,12,Magazine
104629,12,Magazine
104630,12,Magazine
104631,12,Magazine
104632,12,Magazine
104633,12,Magazine
104634,12,Magazine
104635,12,Magazine
104636,12,Magazine
104637,12,Magazine
