ItemId,SeriesId,IsCollection
1494,,1
1496,,1
4196,,1
4223,,1
4231,,1
4235,,1
4236,,1
4242,,1
4249,,1
4457,,1
4459,,1
4462,,1
4464,,1
4465,,1
4467,,1
4470,,1
4471,,1
4472,,1
4473,,1
4474,,1
4475,,1
4480,,1
4518,,1
4543,,1
4556,,1
4606,,1
9846,,1
9850,,1
9853,,1
9863,,1
9865,,1
9867,,1
5873,,1
5876,,1
5984,,1
5612,,1
5995,,1
6932,,1
7427,,1
7380,,1
7382,,1
7383,,1
7386,,1
7390,,1
7975,,1
7977,,1
7978,,1
7553,,1
7554,,1
7587,,1
7991,,1
7631,,1
8017,,1
8071,,1
8078,,1
9881,,1
9884,,1
9888,,1
9906,,1
9907,,1
9908,,1
9910,,1
9918,,1
9585,,1
9950,,1
9960,,1
9962,,1
9990,,1
10007,,1
11853,,1
11855,,1
11858,,1
10308,,1
10329,,1
11876,,1
10392,,1
11881,,1
10583,,1
10606,,1
10686,,1
10791,,1
10857,,1
10881,,1
10888,,1
10897,,1
10907,,1
10925,,1
11927,,1
11937,,1
11950,,1
11605,,1
11616,,1
19942,,1
19943,,1
19413,,1
19944,,1
19945,,1
19946,,1
19947,,1
19948,,1
19949,,1
19952,,1
19432,,1
19954,,1
19442,,1
19955,,1
19957,,1
19958,,1
19960,,1
19962,,1
19963,,1
19966,,1
19967,,1
19968,,1
19970,,1
19972,,1
19978,,1
19980,,1
19981,,1
19583,,1
19608,,1
19624,,1
19625,,1
16774,,1
17992,,1
17996,,1
17358,,1
17659,,1
19045,,1
19118,,1
19119,,1
19148,,1
19162,,1
19166,,1
19930,,1
19259,,1
19305,,1
19306,,1
19313,,1
19933,,1
19333,,1
19335,,1
19336,,1
19340,,1
19362,,1
19935,,1
19936,,1
19366,,1
19939,,1
19940,,1
54230,,1
55990,,1
54384,,1
55991,,1
54595,,1
54801,,1
54804,,1
54570,,1
54819,,1
54824,,1
54873,,1
54874,,1
55995,,1
55139,,1
55996,,1
55157,,1
55164,,1
55998,,1
55299,,1
55309,,1
55999,,1
56000,,1
55975,,1
56239,,1
57989,,1
56567,,1
56654,,1
57488,,1
57600,,1
57996,,1
57666,,1
57670,,1
