S3533        2 vols     2 state chapters  LADDER  c1-c34 over 2 volumes                                        Captain Harlock - The Classic Collection
S3534       10 vols    10 state chapters  LADDER  c1-c52 over 10 volumes                                       Captain Harlock Space Pirate - Dimension
S3536        2 vols     0 state chapters  NO      nothing ranged                                               Captain Ken
S3571        1 vols     0 state chapters  NO      nothing ranged                                               Captain Momo's Secret Base Volume 1
S3593        8 vols     8 state chapters  LADDER  c1-c43 over 8 volumes                                        Cardcaptor Sakura
S3629        3 vols     3 state chapters  LADDER  c2-c16 over 3 volumes                                        Carole and Tuesday
S3646      102 vols    35 state chapters  NO      volume order and chapter order disagree, first at Case Close Case Closed
S3663        5 vols     5 state chapters  LADDER  c1-c44 over 5 volumes                                        Cat + Gamer
S3667        1 vols     0 state chapters  NO      nothing ranged                                               Cat Shit One
S3671        2 vols     2 state chapters  LADDER  c1-c12 over 2 volumes                                        Cat-Eyed Boy - The Perfect Edition
S3705        4 vols     4 state chapters  LADDER  c1-c37 over 4 volumes                                        Cells NOT at Work!
S3706        6 vols     6 state chapters  LADDER  c1-c29 over 6 volumes                                        Cells at Work!
S3707        7 vols     7 state chapters  LADDER  c1-c41 over 7 volumes                                        Cells at Work! CODE BLACK
S3708        5 vols     5 state chapters  LADDER  c1-c25 over 5 volumes                                        Cells at Work! Lady
S3709        1 vols     1 state chapters  LADDER  single volume                                                Cells at Work! Neo Bacteria!
S3710        4 vols     4 state chapters  LADDER  c1-c24 over 4 volumes                                        Cells at Work! White Brigade
S3731        3 vols     0 state chapters  NO      nothing ranged                                               The Coffin
S3733       15 vols    15 state chapters  LADDER  c1-c133 over 15 volumes                                      Chainsaw Man
S3803        4 vols     4 state chapters  LADDER  c1-c52 over 4 volumes                                        Chi's Sweet Adventures
S3804       11 vols     0 state chapters  NO      nothing ranged                                               Chi's Sweet Home
S3821        5 vols     5 state chapters  LADDER  c1-c43 over 5 volumes                                        Children of the Sea
S3846        4 vols     4 state chapters  LADDER  c1-c88 over 4 volumes                                        Chobits 20th Anniversary Edition
S3864        3 vols     3 state chapters  LADDER  c1-c69 over 3 volumes                                        Ciguatera
S3880        2 vols     2 state chapters  LADDER  c1-c12 over 2 volumes                                        Citrus+
S3944       27 vols     0 state chapters  NO      nothing ranged                                               Claymore
S3979        7 vols     7 state chapters  LADDER  c1-c35 over 7 volumes                                        Clockwork Planet
S3987        1 vols     1 state chapters  LADDER  single volume                                                Clover
S4435        5 vols     5 state chapters  LADDER  c1-c103 over 5 volumes                                       Crying Freeman
S4443        1 vols     1 state chapters  LADDER  single volume                                                Cube Arts
S4465        3 vols     3 state chapters  LADDER  c1-c12 over 3 volumes                                        Cutie and the Beast
S4718        6 vols     6 state chapters  LADDER  c1-c37 over 6 volumes                                        Dai Dark
S4760        9 vols     9 state chapters  LADDER  c1-c76 over 9 volumes                                        Dandadan
S5021        5 vols     5 state chapters  LADDER  c1-c22 over 5 volumes                                        Days on Fes
S5022        8 vols     8 state chapters  LADDER  c1-c54 over 8 volumes                                        Daytime Shooting Star
S5034       12 vols    12 state chapters  LADDER  c1-c100 over 12 volumes                                      Dead Dead Demon's Dededede Destruction
S5048       11 vols    11 state chapters  LADDER  c1-c95 over 11 volumes                                       Dead Mount Death Play
S5191        2 vols     2 state chapters  LADDER  c1-c14 over 2 volumes                                        Dear NOMAN
S5203       13 vols     0 state chapters  NO      nothing ranged                                               Death Note
S5341       14 vols    14 state chapters  LADDER  c1-c97 over 14 volumes                                       Delicious in Dungeon
S5365        2 vols     2 state chapters  LADDER  c1-c10 over 2 volumes                                        Demon Slayer - Kimetsu Academy
S5366       23 vols    23 state chapters  LADDER  c1-c205 over 23 volumes                                      Kimetsu no Yaiba
S5389       10 vols    10 state chapters  LADDER  c1-c31 over 10 volumes                                       Descending stories
S5418       10 vols     0 state chapters  NO      nothing ranged                                               Detroit Metal City
S5436        5 vols     5 state chapters  NO      v[42102] c2-2 overlaps v[42103] c2-2                         Devilman
S5459        1 vols     0 state chapters  NO      nothing ranged                                               Die Wergelder
S5466        4 vols     4 state chapters  LADDER  c1-c22 over 4 volumes                                        Dinosaur Sanctuary
S5587        1 vols     1 state chapters  LADDER  single volume                                                Do You Like the Nerdy Nurse
S5710       28 vols    28 state chapters  LADDER  c1-c276 over 28 volumes                                      Domestic Girlfriend 3
S5726        9 vols     9 state chapters  LADDER  c1-c70 over 9 volumes                                        Don't Toy With Me, Miss Nagatoro
S5766       23 vols     4 state chapters  LADDER  c128-c167 over 4 volumes                                     Dorohedoro
S5767        1 vols     1 state chapters  LADDER  single volume                                                Dororo
S5778       18 vols     0 state chapters  NO      nothing ranged                                               Dr. Slump
S5801       16 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball
S5802        5 vols     5 state chapters  LADDER  c1-c84 over 5 volumes                                        Dragon Ball - Full Color Freeza Arc
S5803        3 vols     3 state chapters  LADDER  c1-c51 over 3 volumes                                        Dragon Ball Full Color Saiyan Arc, Vol. 
S5805       12 vols     1 state chapters  LADDER  single volume                                                Dragon Ball Super
S5806        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - Battle's End and Aft
S5807        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - Last Chance for Hope
S5808        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - Moro's Wish
S5809        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - Sign of Son Goku's A
S5810        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - The Decisive Battle!
S5811        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - The Super Warriors G
S5812        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - The Winning Universe
S5813        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - The Zero Human Proje
S5814        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - Universe Survival! T
S5815        1 vols     0 state chapters  NO      nothing ranged                                               Dragon Ball Super - Warriors from Univer
S5816       26 vols     0 state chapters  NO      nothing ranged                                               Dragon ball Z
S5817       10 vols     9 state chapters  NO      volume order and chapter order disagree, first at Dragon Hea Dragon Head
S5870        7 vols     7 state chapters  LADDER  c1-c40 over 7 volumes                                        Drifting Dragons
S5876       22 vols    22 state chapters  LADDER  c1-c219 over 22 volumes                                      Drops of God
S5878        2 vols     0 state chapters  NO      nothing ranged                                               Drug and Drop
S5899        2 vols     0 state chapters  NO      nothing ranged                                               Duklyon - CLAMP School Defenders
S5947        1 vols     1 state chapters  LADDER  single volume                                                Dust
S6002       18 vols     3 state chapters  LADDER  c98-c118 over 3 volumes                                      Eden - Its An Endless World!
S6007       25 vols    25 state chapters  LADDER  c1-c239 over 25 volumes                                      Edens Zero
S6070        3 vols     3 state chapters  LADDER  c1-c15 over 3 volumes                                        Elegant Yokai Apartment Life
S6091        4 vols     4 state chapters  LADDER  c1-c107 over 4 volumes                                       Elfen Lied
S6207        9 vols     8 state chapters  LADDER  c1-c44 over 8 volumes                                        Erased
S6254        3 vols     3 state chapters  LADDER  c1-c15 over 3 volumes                                        Even Though We're Adults
S6367        2 vols     0 state chapters  NO      nothing ranged                                               FLCL
S6398       63 vols     0 state chapters  NO      nothing ranged                                               Fairy Tail
S6407        2 vols     0 state chapters  NO      nothing ranged                                               Fairy Tail's Fairy Girls
S6408        4 vols     4 state chapters  LADDER  c1-c17 over 4 volumes                                        Fairy tale battle royale
S6556        8 vols     8 state chapters  LADDER  c1-c41 over 8 volumes                                        Fate/Zero
S6682        1 vols     1 state chapters  LADDER  single volume                                                Final Fantasy: Lost Stranger
S6703        8 vols     6 state chapters  LADDER  c1-c60 over 6 volumes                                        Fire Punch
S6752       23 vols    23 state chapters  NO      volume order and chapter order disagree, first at Fist of th Fist Of The North Star
S6846       24 vols    24 state chapters  NO      v[44608] c199-209 overlaps v[44609] c208-218                 Fly Me to the Moon
S6852       36 vols    36 state chapters  LADDER  c1-c315 over 36 volumes                                      Food Wars! - Shokugeki no Soma
S6858        5 vols     5 state chapters  LADDER  c1-c26 over 5 volumes                                        For the Kid I Saw in My Dreams
S6978       12 vols     0 state chapters  NO      nothing ranged                                               Freesia
S6987        2 vols     2 state chapters  LADDER  c1-c14 over 2 volumes                                        Friday at the Atelier
S7001       10 vols    10 state chapters  LADDER  c1-c97 over 10 volumes                                       Frieren: Beyond Journey's End
S7018        1 vols     1 state chapters  LADDER  single volume                                                From the Red Fog
S7035       12 vols    12 state chapters  LADDER  c1-c136 over 12 volumes                                      Fruits Basket
S7036        4 vols     4 state chapters  LADDER  c1-c13 over 4 volumes                                        Fruits Basket Another
S7041       27 vols     0 state chapters  NO      nothing ranged                                               Fullmetal Alchemist
S7067        1 vols     0 state chapters  NO      nothing ranged                                               Future Diary
S7085       12 vols    12 state chapters  LADDER  c1-c115 over 12 volumes                                      Fuuka
S7141       10 vols    10 state chapters  LADDER  c1-c89 over 10 volumes                                       Gigant
S7147        9 vols     9 state chapters  LADDER  c1-c70 over 9 volumes                                        GTO
S7148       25 vols    25 state chapters  LADDER  c1-c200 over 25 volumes                                      GTO, Great Teacher Onizuka
S7180       37 vols    15 state chapters  LADDER  c179-c383 over 15 volumes                                    Gantz
S7368        3 vols     0 state chapters  NO      nothing ranged                                               Gente - The People of Ristorante Paradis
S7425        3 vols     3 state chapters  LADDER  c1-c14 over 3 volumes                                        Ghost Diary
S7465        2 vols     0 state chapters  NO      nothing ranged                                               Ghost in the Shell
S7467        5 vols     5 state chapters  LADDER  c1-c42 over 5 volumes                                        Ghost in the Shell - Stand Alone Complex
S7469        1 vols     0 state chapters  NO      nothing ranged                                               Ghost in the Shell.5
S7511       14 vols     0 state chapters  NO      nothing ranged                                               Giant Killing
