# arcade-merge-cards reviewed pairs — generated 2026-08-19
# system	srcCollapseKey	dstCollapseKey	signals	# srcTitle => dstTitle
n64	nbapro99	nbainzone99	lb-alias	# NBA Pro 99 => NBA in the Zone '99
n64	nhlpro99	nhlbladesofsteel99	lb-alias	# NHL Pro 99 => NHL Blades of Steel '99
n64	nintendoallstardairantousmashbrothers	supersmashbros	lb-alias	# Nintendo All-Star! Dairantou Smash Brothers => Super Smash Bros.
n64	operationwinback	winbackcovertoperations	lb-alias	# Operation WinBack => WinBack - Covert Operations
n64	pikachuugenkidechuu	heyyoupikachu	lb-alias	# Pikachuu Genki de Chuu => Hey You, Pikachu!
n64	razmoketleslachasseauxtresors	rugratsscavengerhunt	lb-alias	# Razmoket, Les - La Chasse aux Tresors => Rugrats - Scavenger Hunt
n64	rugratstreasurehunt	rugratsscavengerhunt	lb-alias	# Rugrats - Treasure Hunt => Rugrats - Scavenger Hunt
n64	snobokids	snowboardkids	lb-alias,ra	# Snobo Kids => Snowboard Kids
n64	sonicwingsassault	aerofightersassault	lb-alias	# Sonic Wings Assault => AeroFighters Assault
n64	spacedynamites	darkrift	lb-alias	# Space Dynamites => Dark Rift
n64	startwins	jetforcegemini	lb-alias	# Star Twins => Jet Force Gemini
n64	starwarsshutsugekiroguechuutai	starwarsroguesquadron	lb-alias	# Star Wars - Shutsugeki! Rogue Chuutai => Star Wars - Rogue Squadron
n64	starwarsteikokunokage	starwarsshadowsofempire	lb-alias	# Star Wars - Teikoku no Kage => Star Wars - Shadows of the Empire
n64	supermannewsupermanaventures	superman	lb-alias	# Superman - The New Superman Aventures => Superman
n64	tgrally2	topgearrally2	lb-alias	# TG Rally 2 => Top Gear Rally 2
n64	tonyhawksskateboarding	tonyhawksproskater	lb-alias	# Tony Hawk's Skateboarding => Tony Hawk's Pro Skater
n64	toystory2buzzleclairlarescousse	toystory2buzzlightyeartorescue	lb-alias	# Toy Story 2 - Buzz l'Eclair a la Rescousse! => Toy Story 2 - Buzz Lightyear to the Rescue!
n64	toystory2captainbuzzlightyearaufrettungsmission	toystory2buzzlightyeartorescue	lb-alias	# Toy Story 2 - Captain Buzz Lightyear auf Rettungsmission! => Toy Story 2 - Buzz Lightyear to the Rescue!
n64	wildchoppers	chopperattack	lb-alias	# Wild Choppers => Chopper Attack
n64	winback	winbackcovertoperations	igdb,lb-alias	# WinBack => WinBack - Covert Operations
n64	yoshistory	yoshisstory	lb-alias	# Yoshi Story => Yoshi's Story
n64	yukeyuketroublemakers	mischiefmakers	lb-alias	# Yuke Yuke!! Trouble Makers => Mischief Makers
n64	zeldanodensetsumujuranokamen	legendofzeldamajorasmask	lb-alias	# Zelda no Densetsu - Mujura no Kamen => Legend of Zelda, The - Majora's Mask
n64	zeldanodensetsutokinoocarina	legendofzeldaocarinaoftime	lb-alias,ra	# Zelda no Densetsu - Toki no Ocarina => Legend of Zelda, The - Ocarina of Time
n64	zeldanodensetsutokinoocarinagcura	legendofzeldaocarinaoftimemasterquest	lb-alias	# Zelda no Densetsu - Toki no Ocarina GC Ura => Legend of Zelda, The - Ocarina of Time - Master Quest
nds	007einquantumtrost	007quantumofsolace	lb-alias	# 007 - Ein Quantum Trost => 007 - Quantum of Solace
nds	100classicbookcollection	100classicbooks	lb-alias	# 100 Classic Book Collection => 100 Classic Books
nds	100livresclassiques	100classicbooks	lb-alias	# 100 Livres Classiques => 100 Classic Books
nds	18cardgames	18classiccardgames	lb-alias	# 18 Card Games => 18 Classic Card Games
nds	1contre100	1vs100	lb-alias	# 1 Contre 100 => 1 vs 100
nds	1gegen100	1vs100	lb-alias	# 1 Gegen 100 => 1 vs 100
nds	abdurchdiehecke	overhedge	lb-alias	# Ab Durch die Hecke => Over the Hedge
nds	addyjuniormeinkoerper	adibouaventurejexplorelecorpshumain	lb-alias	# Addy Junior - Mein Koerper => Adibou Aventure - J'Explore le Corps Humain
nds	advancewarsdarkconflict	advancewarsdaysofruin	lb-alias	# Advance Wars - Dark Conflict => Advance Wars Days of Ruin
nds	againfbichoushinrisousakan	againinteractivecrimenovel	lb-alias	# Again - FBI Chou Shinri Sousakan => Again - Interactive Crime Novel
nds	airtrafficcontrollerbyds	airtrafficchaos	lb-alias	# Air Traffic Controller by DS => Air Traffic Chaos
nds	akachanwadokokarakuruno	rubrabbits	lb-alias	# Akachan wa Doko Kara Kuru no => The Rub Rabbits!
nds	akumajoudraculagalleryoflabyrinth	castlevaniaportraitofruin	lb-alias	# Akumajou Dracula - Gallery of Labyrinth => Castlevania - Portrait Of Ruin
nds	akumajoudraculasougetsunojuujika	castlevaniadawnofsorrow	lb-alias	# Akumajou Dracula - Sougetsu no Juujika => Castlevania - Dawn of Sorrow
nds	akumajoudraculaubawaretakokuin	castlevaniaorderofecclesia	lb-alias	# Akumajou Dracula - Ubawareta Kokuin => Castlevania - Order of Ecclesia
nds	allstarcheerleader	allstarcheersquad	lb-alias	# All Star Cheerleader => All Star Cheer Squad
nds	angelcatsugarandstormking	angelcatsugar	lb-alias	# Angel Cat Sugar and the Storm King => Angel Cat Sugar
nds	animalkororo	rollinrascals	lb-alias	# Animal Kororo => Rollin' Rascals
nds	ankhlamaledictionduroiscarabee	ankhcurseofscarabking	lb-alias	# Ankh - La Malediction du Roi Scarabee => Ankh - Curse of the Scarab King
nds	ankysruiterschool	dreamerserieshorsetrainer	lb-alias	# Anky's Ruiterschool => Dreamer Series - Horse Trainer
nds	anothercode2tsunokioku	tracememory	lb-alias	# Another Code - 2tsu no Kioku => Trace Memory
nds	anpanmantoasoboaiueokyoushitsudx	anpanmantoasoboaiueokyoushitsu	igdb	# Anpanman to Asobo - Aiueo Kyoushitsu DX => Anpanman to Asobo - Aiueo Kyoushitsu
nds	apprendsavecpokemonlaconqueteduclavier	battleandgetpokemontypingds	lb-alias	# Apprends avec Pokemon - A la Conquete du Clavier => Battle & Get! Pokemon Typing DS
nds	aprendeconpokemonaventuraentrelasteclas	battleandgetpokemontypingds	lb-alias	# Aprende con Pokemon - Aventura Entre las Teclas => Battle & Get! Pokemon Typing DS
nds	aquariumbyds	kokorogauruoubireiaquariumdstetraguppyangelfish	lb-alias	# Aquarium by DS => Kokoro ga Uruou Birei Aquarium DS - Tetra - Guppy - Angelfish
nds	arthurandinvisiblesgame	arthurandminimoys	lb-alias	# Arthur and the Invisibles - The Game => Arthur and the Minimoys
nds	artofmurderfbitopsecret	crimelabbodyofevidence	lb-alias	# Art of Murder - FBI Top Secret => Crime Lab - Body of Evidence
nds	aruitewakaruseikatsurhythmds	personaltrainerwalking	lb-alias	# Aruite Wakaru - Seikatsu Rhythm DS => Personal Trainer - Walking
nds	atsumetekirby	kirbymassattack	lb-alias	# Atsumete! Kirby => Kirby - Mass Attack
nds	avatarderherrderelementedieerdebrennt	avatarlastairbenderburningearth	lb-alias	# Avatar - Der Herr der Elemente - Die Erde Brennt => Avatar - The Last Airbender - The Burning Earth
nds	avatarlegendofaang	avatarlastairbender	lb-alias	# Avatar - The Legend of Aang => Avatar - The Last Airbender
nds	awatama	soulbubbles	lb-alias	# Awatama => Soul Bubbles
nds	babyanimalzoo	dreamerserieszookeeper	lb-alias	# Baby Animal Zoo => Dreamer Series - Zoo Keeper
nds	babyfashionstar	imaginebabyzfashion	lb-alias	# Baby Fashion Star => Imagine - Babyz Fashion
nds	bakuganbattlebrawlersdsdefendersofcore	bakugandefendersofcore	lb-alias	# Bakugan Battle Brawlers DS - Defenders of the Core => Bakugan - Defenders of the Core
nds	bakushow	archimeds	lb-alias	# Bakushow => Archime DS
nds	bandzmania	sillybandzplaycraze	lb-alias	# Bandz Mania => Silly Bandz - Play the Craze
nds	barnyardverruecktebauernhofspiele	backatbarnyardbarnyardgames	lb-alias	# Barnyard - Verrueckte Bauernhof-Spiele => Back at the Barnyard - Barnyard Games
nds	beautysalon	salonsuperstar	lb-alias	# Beauty Salon => Salon Superstar
nds	beemoviedasgame	beemoviegame	lb-alias	# Bee Movie das Game => Bee Movie Game
nds	beemovielejeu	beemoviegame	lb-alias	# Bee Movie le Jeu => Bee Movie Game
nds	bestfriendsmijnhondenenkatten	pawsandclawsbestfriendsdogsandcats	lb-alias	# Best Friends - Mijn Honden en Katten => Paws & Claws - Best Friends - Dogs & Cats
nds	beyblademetalmastersnightmarerex	beyblademetalmasters	lb-alias	# Beyblade - Metal Masters - Nightmare Rex => Beyblade - Metal Masters
nds	bfftv	bestfriendstonight	lb-alias	# BFF TV => Best Friends Tonight
nds	biohazarddeadlysilence	residentevildeadlysilence	lb-alias	# BioHazard - Deadly Silence => Resident Evil - Deadly Silence
nds	bisangguexitds	exitds	lb-alias	# Bisanggu - Exit DS => Exit DS
nds	bleachds2ndkokuihiramekurequiem	bleachdarksouls	lb-alias	# Bleach DS 2nd - Kokui Hirameku Requiem => Bleach - Dark Souls
nds	bleachdssoutennikakeruunmei	bleachbladeoffate	lb-alias	# Bleach DS - Souten ni Kakeru Unmei => Bleach - The Blade Of Fate
nds	bobesponjaatrapadosenelcongelador	spongebobstruthorsquare	lb-alias	# Bob Esponja - Atrapados en el Congelador => SpongeBob's Truth or Square
nds	bokujoumonogatarifutagonomura	harvestmoondstaleoftwotowns	lb-alias	# Bokujou Monogatari - Futago no Mura => Harvest Moon DS - The Tale of Two Towns
nds	bokujoumonogatarikimitosodatsushima	harvestmoondsislandofhappiness	lb-alias	# Bokujou Monogatari - Kimi to Sodatsu Shima => Harvest Moon DS - Island of Happiness
nds	bokujoumonogatarikirakirataiyoutonakamatachi	harvestmoondssunshineislands	lb-alias	# Bokujou Monogatari - KiraKira Taiyou to Nakamatachi => Harvest Moon DS - Sunshine Islands
nds	bokujoumonogatariyoukosokazenobazaare	harvestmoondsgrandbazaar	lb-alias	# Bokujou Monogatari - Youkoso! Kaze no Bazaar e => Harvest Moon DS - Grand Bazaar
nds	bokuranotaiyoudjangoandsabata	lunarknights	lb-alias	# Bokura no Taiyou - Django & Sabata => Lunar Knights
nds	bokurawakasekihorider	fossilfighters	lb-alias	# Bokura wa Kaseki Horider => Fossil Fighters
nds	bokutosimnomachikingdom	mysimskingdom	lb-alias	# Boku to Sim no Machi - Kingdom => MySims Kingdom
nds	bokutosimnomachiparty	mysimsparty	lb-alias	# Boku to Sim no Machi Party => MySims - Party
nds	bokutosimnomachiracing	mysimsracing	lb-alias	# Boku to Sim no Machi - Racing => MySims - Racing
nds	bokutosimnomachiresortnigenkiotorimodosou	mysims	lb-alias	# Boku to Sim no Machi - Resort ni Genki o Torimodosou! => MySims
nds	bratzkidzparty	bratzkidzslumberparty	lb-alias	# Bratz Kidz - Party => Bratz Kidz - Slumber Party
nds	bravissimots	classicwordgames	lb-alias	# Bravissi-Mots => Classic Word Games
nds	brickemallds	breakemall	lb-alias	# Brick 'Em All DS => Break 'Em All
nds	bubblebobbleds	bubblebobblerevolution	lb-alias	# Bubble Bobble DS => Bubble Bobble Revolution
nds	bunnyz	petzbunnyz	lb-alias	# Bunnyz => Petz - Bunnyz
nds	captaintsubasagekitounokiseki	captaintsubasanewkickoff	lb-alias	# Captain Tsubasa - Gekitou no Kiseki => Captain Tsubasa - New Kick Off
nds	carljiisannosoratobuie	up	lb-alias	# Carl Jiisan no Sora Tobu Ie => Up
nds	carshookinternational	carsmaternationalchampionship	lb-alias,ra	# Cars - Hook International => Cars Mater-National Championship
nds	carslacopainternacionaldemate	carsmaternationalchampionship	lb-alias,ra	# Cars - La Copa Internacional de Mate => Cars Mater-National Championship
nds	carslacoppainternazionaledicarlattrezzi	carsmaternationalchampionship	lb-alias,ra	# Cars - La Coppa Internazionale di Carl Attrezzi => Cars Mater-National Championship
nds	catchtouchyoshi	yoshitouchandgo	lb-alias	# Catch! Touch! Yoshi! => Yoshi Touch & Go
nds	catz2	petzcatz2	lb-alias	# Catz 2 => Petz - Catz 2
nds	catz2daisukinyannyanpark	petzcatz2	lb-alias	# Catz 2 - Daisuki Nyan Nyan Park => Petz - Catz 2
nds	chajaragaegurijungsakeroroteullingeurimchatgidaejakjeon	mitsuketekerorogunsoumachigaisagashidaisakusendearimasu	lb-alias	# Chajara! Gaeguri Jungsa Keroro Teullingeurimchatgi Daejakjeon! => Mitsukete! Keroro Gunsou - Machigai Sagashi Daisakusen de Arimasu!
nds	challengememathsworkout	challengememathworkout	lb-alias	# Challenge Me - Maths Workout => Challenge Me - Math Workout
nds	charmgirlsclubwatashinofashionmall	charmgirlsclubmyfashionmall	lb-alias	# Charm Girls Club - Watashi no Fashion Mall => Charm Girls Club - My Fashion Mall
nds	charmgirlsclubwatashinofashionshow	charmgirlsclubmyfashionshow	lb-alias	# Charm Girls Club - Watashi no Fashion Show => Charm Girls Club - My Fashion Show
nds	chickenlittleuchuusaikyounoteam	chickenlittleaceinaction	lb-alias	# Chicken Little - Uchuu Saikyou no Team => Chicken Little - Ace in Action
nds	chokkanhitofude	polarium	lb-alias	# Chokkan Hitofude => Polarium
nds	choukasekimonsterbattlegekitotsugalaxy	spectrobesbeyondportals	lb-alias	# Chou Kaseki Monster Battle - Gekitotsu Galaxy => Spectrobes - Beyond the Portals
nds	chounekketsukoukoukuniokundodgeballbu	superdodgeballbrawlers	lb-alias	# Chou Nekketsu Koukou Kuniokun - Dodgeball Bu => Super Dodgeball Brawlers
nds	choushittoucaduceus	traumacenterunderknife	lb-alias	# Chou Shittou Caduceus => Trauma Center - Under the Knife
nds	clashkingv201	sideswiped	lb-alias	# Clash King V201 => Sideswiped
nds	clubpenguinforcedelite	clubpenguinelitepenguinforce	lb-alias	# Club Penguin - Force D'Elite => Club Penguin - Elite Penguin Force
nds	cnaeaprendeconnosotrosdriversed	driversedportable	lb-alias	# CNAE Aprende con Nosotros - Driver's Ed => Drivers Ed Portable
nds	cocinaconmigoquepreparamoshoy	personaltrainercooking	lb-alias	# Cocina Conmigo! Que Preparamos Hoy => Personal Trainer - Cooking
nds	cocotoracers	cocotokartracer	lb-alias	# Cocoto Racers => Cocoto - Kart Racer
nds	colinmcraedirt2	dirt2	lb-alias	# Colin McRae - DiRT 2 => DiRT 2
nds	colourcross	colorcross	lb-alias	# Colour Cross => Color Cross
nds	combatofgiantsdragons	battleofgiantsdragons	lb-alias	# Combat of Giants - Dragons => Battle of Giants - Dragons
nds	combatofgiantsmutantinsects	battleofgiantsmutantinsects	lb-alias	# Combat of Giants - Mutant Insects => Battle of Giants - Mutant Insects
nds	cookingguidecantdecidewhattoeat	personaltrainercooking	lb-alias	# Cooking Guide - Can't Decide What to Eat => Personal Trainer - Cooking
nds	cookingmama2	cookingmama2dinnerwithfriends	igdb	# Cooking Mama 2 => Cooking Mama 2 - Dinner With Friends
nds	cookingmamaworldoutdooradventures	campingmamaoutdooradventures	lb-alias	# Cooking Mama World - Outdoor Adventures => Camping Mama - Outdoor Adventures
nds	crashbandicootfestival	crashboombang	lb-alias	# Crash Bandicoot Festival => Crash Boom Bang!
nds	crosswords	crosswordsds	igdb,lb-alias	# CrossworDS => Crosswords DS
nds	crosswordscruciverbaitaliani	crosswords	igdb	# Crosswords - Cruciverba Italiani => CrossworDS
nds	daigassoubandbrothersdx	jamwithband	lb-alias	# Daigassou! Band Brothers DX => Jam with the Band
nds	deadnfurious	touchdead	lb-alias,ra	# Dead 'n' Furious => Touch the Dead
nds	deepseaaquariumbyds	deepaquariumkisekinoshinkai	lb-alias	# Deep Sea Aquarium by DS => Deep Aquarium - Kiseki no Shinkai
nds	deineeigenemodenschau	satisfashionrockrunway	lb-alias	# Deine eigene Modenschau => Satisfashion - Rock the Runway
nds	deinereitschule	dreamerserieshorsetrainer	lb-alias	# Deine ReitSchule => Dreamer Series - Horse Trainer
nds	dekitayomamaonnanoko	smartgirlsplayhouse	lb-alias	# Dekitayo! Mama, Onnanoko => Smart Girl's Playhouse
nds	dekitayomamawannyanclubotokonoko	smartboystoysclub	lb-alias	# Dekita yo! Mama. - Wannyan Club - Otokonoko => Smart Boy's Toys Club
nds	digimonchampionship	digimonworldchampionship	lb-alias	# Digimon Championship => Digimon World Championship
nds	digimonstorymoonlight	digimonworlddusk	lb-alias	# Digimon Story Moonlight => Digimon World - Dusk
nds	digimonstorysunburst	digimonworlddawn	lb-alias	# Digimon Story Sunburst => Digimon World - Dawn
nds	disneyprincessmahounojewel	disneyprincessmagicaljewels	lb-alias	# Disney Princess - Mahou no Jewel => Disney Princess - Magical Jewels
nds	divagirlsdivaballerina	myballetstudio	lb-alias	# Diva Girls - Diva Ballerina => My Ballet Studio
nds	divagirlsmakingmusic	rockinpretty	lb-alias	# Diva Girls - Making the Music => Rockin' Pretty
nds	dokaponjourneynakayokukenkashite	dokaponjourney	igdb,lb-alias	# Dokapon Journey! Nakayoku Kenka Shite => Dokapon Journey
nds	dokodemopilates	letspilates	lb-alias	# Dokodemo Pilates => Let's Pilates!
nds	donkeykongjungleclimber	dkjungleclimber	lb-alias	# Donkey Kong - Jungle Climber => DK - Jungle Climber
nds	doraandfriendspetshelter	doraandkailanspetshelter	lb-alias	# Dora & Friends - Pet Shelter => Dora & Kai-Lan's Pet Shelter
nds	doraexplorerdorapuppy	dorapuppy	lb-alias	# Dora the Explorer - Dora Puppy => Dora Puppy
nds	drachenzaehmenleichtgemacht	howtotrainyourdragon	lb-alias	# Drachenzaehmen Leicht Gemacht => How to Train Your Dragon
nds	dragonballds	dragonballorigins	lb-alias	# Dragon Ball DS => Dragon Ball - Origins
nds	dragonballds2totsugekiredribbongun	dragonballorigins2	lb-alias	# Dragon Ball DS 2 - Totsugeki! Red Ribbon Gun => Dragon Ball - Origins 2
nds	dragonballkaisaiyajinraishuu	dragonballzattackofsaiyans	lb-alias	# Dragon Ball Kai - Saiyajin Raishuu => Dragon Ball Z - Attack of the Saiyans
nds	dragonballzgokudensetsu	dragonballzharukanarudensetsu	lb-alias	# Dragon Ball Z - Goku Densetsu => Dragon Ball Z - Harukanaru Densetsu
nds	dragonballzharukanarugokuudensetsu	dragonballzharukanarudensetsu	lb-alias	# Dragon Ball Z - Harukanaru Gokuu Densetsu => Dragon Ball Z - Harukanaru Densetsu
nds	dragonquesthandofheavenlybride	dragonquestvhandofheavenlybride	lb-alias	# Dragon Quest - The Hand of the Heavenly Bride => Dragon Quest V - Hand of the Heavenly Bride
nds	dragonquestivmichibikareshimonotachi	dragonquestivchaptersofchosen	lb-alias	# Dragon Quest IV - Michibikareshi Monotachi => Dragon Quest IV - Chapters of the Chosen
nds	dragonquestixhoshizoranomamoribito	dragonquestixsentinelsofstarryskies	lb-alias	# Dragon Quest IX - Hoshizora no Mamoribito => Dragon Quest IX - Sentinels of the Starry Skies
nds	dragonquestvirealmsofreverie	dragonquestvirealmsofrevelation	lb-alias,ra	# Dragon Quest VI - Realms of Reverie => Dragon Quest VI - Realms of Revelation
nds	drawntolifeedicionbobesponja	drawntolifespongebobsquarepantsedition	lb-alias	# Drawn to Life - Edicion Bob Esponja => Drawn to Life - SpongeBob SquarePants Edition
nds	drawntolifekamisamanomarionette	drawntolife	lb-alias	# Drawn to Life - Kamisama no Marionette => Drawn to Life
nds	drkawashimasbraintraininghowoldisyourbrain	brainagetrainyourbraininminutesday	lb-alias,ra	# Dr Kawashima's Brain Training - How Old Is Your Brain => Brain Age - Train Your Brain In Minutes A Day!
nds	drreinerkniziasbrainbenders	brainvoyage	lb-alias	# Dr Reiner Knizia's Brain Benders => Brain Voyage
nds	dspicoseriessanrionopartyeikouoryourioshareokaimono	hellokittyparty	lb-alias	# DS Pico Series - Sanrio no Party e Ikou! Oryouri - Oshare - Okaimono => Hello Kitty - Party
nds	dungeonexplorerjashinnoryouiki	dungeonexplorerwarriorsofancientarts	lb-alias	# Dungeon Explorer - Jashin no Ryouiki => Dungeon Explorer - Warriors of Ancient Arts
nds	dungeonmakermahounoshoveltochiisanayuusha	masterofmonsterlair	lb-alias	# Dungeon Maker - Mahou no Shovel to Chiisana Yuusha => Master of the Monster Lair
nds	easylearningdiscoverourworld	learngeography	lb-alias	# Easy Learning - Discover Our World => Learn Geography
nds	easypianolearnplayandcompose	easypianoplayandcompose	lb-alias	# Easy Piano - Learn, Play & Compose => Easy Piano - Play & Compose
nds	ecolis	ecocreaturessaveforest	lb-alias	# Ecolis => Eco Creatures - Save the Forest
nds	ecolisaoiumitougokushima	ecocreaturessaveforest	lb-alias	# Ecolis - Aoi Umi to Ugoku Shima => Eco Creatures - Save the Forest
nds	ecolissaveforest	ecocreaturessaveforest	lb-alias	# Ecolis - Save the Forest => Eco Creatures - Save the Forest
nds	edamotonaominoshiawasekitchenkakushiajiwaanatagakimetene	imaginemasterchef	lb-alias	# Edamoto Naomi no Shiawase Kitchen - Kakushi Aji wa Anata ga Kimete ne => Imagine - Master Chef
nds	eigoganigatenaotonanodstrainingeigozuke	englishtraininghavefunimprovingyourskills	lb-alias	# Eigo ga Nigate na Otona no DS Training - Eigo Zuke => English Training - Have Fun Improving Your Skills
nds	eindeloosbackgammon	backgammon	lb-alias	# Eindeloos Backgammon => Backgammon
nds	eiyuusenkilaevatein	herossagalaevateintactics	lb-alias	# Eiyuu Senki - Laevatein => Hero's Saga - Laevatein Tactics
nds	elebitskaitozeronofushiginatabi	elebitsadventuresofkaiandzero	lb-alias	# Elebits - Kai to Zero no Fushigi na Tabi => Elebits - The Adventures of Kai & Zero
nds	eledeesadventuresofkaiandzero	elebitsadventuresofkaiandzero	lb-alias	# Eledees - The Adventures of Kai and Zero => Elebits - The Adventures of Kai & Zero
nds	emergencyds	emergencydisasterrescuesquad	lb-alias	# Emergency DS => Emergency! Disaster Rescue Squad
nds	emilyarcherundderfluchdestutanchamun	emilyarchercurseofkingtutstomb	lb-alias	# Emily Archer und der Fluch des Tutanchamun => Emily Archer - The Curse of King Tut's Tomb
nds	emilymyanimalshelter	petadoptioncenter	lb-alias	# Emily - My Animal Shelter => Pet Adoption Center
nds	emilymydogparadise	dreamerseriespuppytrainer	lb-alias	# Emily - My Dog Paradise => Dreamer Series - Puppy Trainer
nds	emilymydreamjobpopstar	dreamerseriespopstar	lb-alias	# Emily - My Dream Job - Popstar => Dreamer Series - Pop Star
nds	enchantedfolkandschoolofwizardry	magiciansquestmysterioustimes	lb-alias,ra	# Enchanted Folk and the School of Wizardry => Magician's Quest - Mysterious Times
nds	englishbuddy	englischbuddy	lb-alias	# English Buddy => Englisch Buddy
nds	estpolislandscursedbygods	lufiacurseofsinistrals	lb-alias	# Estpolis - The Lands Cursed by the Gods => Lufia - Curse of the Sinistrals
nds	evolutiongt	corvetteevolutiongt	lb-alias	# Evolution GT => Corvette Evolution GT
nds	expeditierobinson	survivor	lb-alias	# Expeditie Robinson => Survivor
nds	famicomwarsds	advancewarsdualstrike	lb-alias	# Famicom Wars DS => Advance Wars - Dual Strike
nds	familyparktycoon	rollercoasterpark	lb-alias	# Family Park Tycoon => Rollercoaster Park
nds	farmlifemanageyourownfarm	johndeereharvestinheartland	lb-alias	# Farm Life - Manage Your Own Farm => John Deere - Harvest in the Heartland
nds	fashiondesignerhighfashion	fashionweekjrdesigner	lb-alias	# Fashion Designer - High Fashion => Fashion Week Jr. - Designer
nds	fashiondesignerstyleicon	myfashionstudio	lb-alias	# Fashion Designer - Style Icon => My Fashion Studio
nds	fashiondogz	petzdogzfashion	lb-alias	# Fashion Dogz => Petz - Dogz Fashion
nds	ferrarichallenge	ferrarichallengetrofeopirelli	igdb	# Ferrari Challenge => Ferrari Challenge - Trofeo Pirelli
nds	fifa11	fifasoccer11	lb-alias	# FIFA 11 => FIFA Soccer 11
nds	finalfantasytacticsa2fuuketsunogrimoire	finalfantasytacticsa2grimoireofrift	lb-alias	# Final Fantasy Tactics A2 - Fuuketsu no Grimoire => Final Fantasy Tactics A2 - Grimoire of the Rift
nds	findetnemofluchtindenozean	findingnemoescapetobigblue	lb-alias	# Findet Nemo - Flucht in den Ozean => Finding Nemo - Escape to the Big Blue
nds	findingnemotouchdenemo	findingnemoescapetobigblue	lb-alias	# Finding Nemo - Touch de Nemo => Finding Nemo - Escape to the Big Blue
nds	fireemblemshinankokuryuutohikarinoken	fireemblemshadowdragon	lb-alias	# Fire Emblem - Shin Ankokuryuu to Hikari no Ken => Fire Emblem - Shadow Dragon
nds	fushiginodungeonfuurainoshirends	mysterydungeonshirenwanderer	lb-alias	# Fushigi no Dungeon - Fuurai no Shiren DS => Mystery Dungeon - Shiren the Wanderer
nds	gabugabuplanet	preystars	lb-alias	# Gabu Gabu Planet => Prey the Stars
nds	gamecentercxarinonochousenjou	retrogamechallenge	lb-alias	# Game Center CX - Arino no Chousenjou => Retro Game Challenge
nds	gekitoucustomrobo	customroboarena	lb-alias	# Gekitou! Custom Robo => Custom Robo Arena
nds	geniodelaspalabrasel	wordfish	lb-alias	# Genio de las Palabras, El => Wordfish
nds	genmunotoutotsuruginookite	darkspire	lb-alias	# Genmu no Tou to Tsurugi no Okite => The Dark Spire
nds	gensousuikodentierkreis	suikodentierkreis	lb-alias	# Gensou Suikoden - Tierkreis => Suikoden - Tierkreis
nds	georgeofjungleandsearchforsecret	georgeofjungle	igdb	# George of the Jungle and the Search for the Secret => George of the Jungle
nds	geuryeoratouchnaegamandeuneunsesang	drawntolife	lb-alias	# Geuryeora, Touch! Naega Mandeuneun Sesang => Drawn to Life
nds	ghosttrick	ghosttrickphantomdetective	igdb	# Ghost Trick => Ghost Trick - Phantom Detective
nds	girlishloverevolutionds	otometekikoikakumeiloverevods	lb-alias	# Girlish Love Revolution DS!! => Otometeki Koi Kakumei - Love Revo!! DS
nds	girlslifefashionaddict	imaginefashiondesignerworldtour	lb-alias	# Girls Life - Fashion Addict => Imagine - Fashion Designer - World Tour
nds	girlslifejewellerystyle	stylelabjewelrydesign	lb-alias	# Girls Life - Jewellery Style => Style Lab - Jewelry Design
nds	girlslifemakeover	stylelabmakeover	lb-alias	# Girls Life - Makeover => Style Lab - Makeover
nds	goldeneyeauservicedumal	goldeneyerogueagent	lb-alias	# GoldenEye - Au Service du Mal => GoldenEye - Rogue Agent
nds	goldeneyedarkagentds	goldeneyerogueagent	lb-alias	# GoldenEye - Dark Agent DS => GoldenEye - Rogue Agent
nds	goumareifudenizuna	izunalegendofunemployedninja	lb-alias	# Gouma Reifu Den Izuna => Izuna - Legend Of The Unemployed Ninja
nds	greatestcasualcollection	casualclassics	lb-alias	# Greatest Casual Collection => Casual Classics
nds	gripskidsdeutsch	kidslearnspellingandgrammaredition	lb-alias	# GripsKids - Deutsch => Kids Learn - Spelling and Grammar - A+ Edition
nds	gurugurunagetto	guruguru	igdb,lb-alias	# Guru Guru Nagetto => Guru Guru
nds	gyakutensaibanyomigaerugyakuten	phoenixwrightaceattorney	lb-alias	# Gyakuten Saiban - Yomigaeru Gyakuten => Phoenix Wright - Ace Attorney
nds	haganenorenkinjutsushidualsympathy	fullmetalalchemistdualsympathy	lb-alias	# Hagane no Renkinjutsushi - Dual Sympathy => Fullmetal Alchemist - Dual Sympathy
nds	hamekomiluckypuzzleds	neves	lb-alias	# HameKomi Lucky Puzzle DS => Neves
nds	hamsterz	hamsterzlife	igdb,lb-alias	# Hamsterz => Hamsterz Life
nds	hanadekaclubanimalparadise	animalparadise	lb-alias	# Hana Deka Club - Animal Paradise => Animal Paradise
nds	hanatotaiyoutoametoowaranairakuen	flowersunandrainmurderandmysteryinparadise	lb-alias	# Hana to Taiyou to Ame to - Owaranai Rakuen => Flower Sun and Rain - Murder and Mystery in Paradise
nds	happycookingtouchpendetanoshikuoryouri	happycooking	lb-alias	# Happy Cooking - Touch Pen de Tanoshiku Oryouri => Happy Cooking
nds	happypartywithhellokittyandfriends	hellokittyparty	lb-alias	# Happy Party with Hello Kitty & Friends! => Hello Kitty - Party
nds	happystarband	rockinpretty	lb-alias	# Happy Star Band => Rockin' Pretty
