# shelves from the split lane (new + kept halves) — feed to next_batch.py --revisit-file
# S<sid>	<key>	run=<json|->	<P- file>	new|kept|kept-whole[	pair=<origin sid>][	moved_cv=<id>,…][	pending_join=<sid>,…]
# kept-whole = a `split: false` shelf (nothing moved): its F split-needed stands until an identity batch re-reads it as one run
# pair = the shelf the split took this row's items from (a kept row is its own pair): --revisit-file never cuts a batch inside a pair group
S94641	Justice League International v1 (1987)	run={"cv": 3798, "gcd": 3366}	P-039.jsonl	new	pair=10105
S94706	Strange Adventures v4 (2011)	run={"cv": 71454, "gcd": 110480}	P-039.jsonl	new	pair=16896
S6788	Flash plus Nightwing	run={"cv": 28597, "gcd": 5738}	P-039.jsonl	new	pair=65356
S104013	Legion of Super-Heroes Annual (1985)	run={"cv": 3451, "gcd": 2984}	P-039.jsonl	new	pair=98213
S104014	Legion of Super-Heroes Annual (1990)	run={"cv": 4371, "gcd": 3995}	P-039.jsonl	new	pair=98214
S10105	moved out -> S94641 "Justice League International v1 (1987)"	run=-	P-039.jsonl	kept	pair=10105	moved_cv=3798
S16896	moved out -> S94706 "Strange Adventures v4 (2011)"	run=-	P-039.jsonl	kept	pair=16896	moved_cv=71454
S65356	moved out -> S6788 "Flash plus Nightwing"	run=-	P-039.jsonl	kept	pair=65356	moved_cv=28597
S98213	moved out -> S104013 "Legion of Super-Heroes Annual (1985)"	run=-	P-039.jsonl	kept	pair=98213	moved_cv=3451
S98214	moved out -> S104014 "Legion of Super-Heroes Annual (1990)"	run=-	P-039.jsonl	kept	pair=98214	moved_cv=4371
